Run,Prover Total (ms),Prover PCS (ms),Prover PCS Ratio (%),Prover PIOP (ms),Verifier Total (ms),Verifier PCS (ms),Verifier PCS Ratio (%),Verifier PIOP (ms),Total Size (MB),PCS Size (MB),PCS Size Ratio (%),PIOP Size (MB)
1,3.27,0.57,17.40,2.70,201.16,200.04,99.44,1.12,135.3005,135.1982,99.92,0.1023
2,5.62,0.89,15.79,4.73,288.65,287.68,99.67,0.97,169.7944,169.6900,99.94,0.1044
3,11.26,1.87,16.60,9.39,358.86,357.49,99.62,1.37,196.7285,196.6203,99.95,0.1082
4,24.05,3.78,15.71,20.27,534.98,533.67,99.76,1.31,250.1313,250.0157,99.95,0.1156
5,50.86,8.06,15.86,42.80,773.48,771.77,99.78,1.71,293.0954,292.9651,99.96,0.1303
6,3.15,0.55,17.59,2.60,200.42,199.17,99.38,1.25,135.4511,135.2742,99.87,0.1769
7,5.35,0.84,15.78,4.51,287.37,286.06,99.54,1.31,169.9262,169.7474,99.89,0.1788
8,10.20,1.58,15.48,8.62,365.68,363.71,99.46,1.97,196.8504,196.6678,99.91,0.1826
9,20.75,3.42,16.49,17.33,521.07,519.44,99.69,1.63,250.2662,250.0767,99.92,0.1895
10,49.41,8.05,16.29,41.37,749.82,747.48,99.69,2.34,293.2978,293.0931,99.93,0.2047
11,18.50,3.03,16.38,15.47,450.51,448.88,99.64,1.64,196.9200,196.7376,99.91,0.1824
12,18.63,2.99,16.06,15.64,442.94,441.39,99.65,1.55,196.8863,196.7039,99.91,0.1824
