Run,Prover Total (ms),Prover PCS (ms),Prover PCS Ratio (%),Prover PIOP (ms),Verifier Total (ms),Verifier PCS (ms),Verifier PCS Ratio (%),Verifier PIOP (ms),Total Size (MB),PCS Size (MB),PCS Size Ratio (%),PIOP Size (MB)
1,14.30,4.46,31.18,9.84,884.53,881.64,99.67,2.89,181.4770,181.3272,99.92,0.1498
2,13.15,3.57,27.18,9.58,942.95,940.17,99.71,2.78,181.5583,181.4085,99.92,0.1497
3,13.33,3.69,27.65,9.65,889.68,886.91,99.69,2.77,181.6346,181.4850,99.92,0.1496
4,14.10,4.24,30.05,9.86,996.26,993.44,99.72,2.82,181.5395,181.3898,99.92,0.1497
5,13.10,3.65,27.88,9.44,930.63,927.59,99.67,3.04,181.6294,181.4797,99.92,0.1496
6,13.82,3.72,26.90,10.10,900.03,897.15,99.68,2.89,181.5666,181.4169,99.92,0.1497
7,14.78,4.38,29.62,10.40,899.63,896.72,99.68,2.91,181.5238,181.3738,99.92,0.1500
8,15.15,4.50,29.68,10.65,935.88,932.83,99.67,3.05,181.5496,181.3998,99.92,0.1498
9,13.11,3.61,27.56,9.50,904.57,901.53,99.66,3.04,181.5947,181.4447,99.92,0.1500
10,14.62,4.18,28.56,10.44,893.62,891.03,99.71,2.59,181.6071,181.4576,99.92,0.1494
