Run,Prover Total (ms),Prover PCS (ms),Prover PCS Ratio (%),Prover PIOP (ms),Verifier Total (ms),Verifier PCS (ms),Verifier PCS Ratio (%),Verifier PIOP (ms),Total Size (MB),PCS Size (MB),PCS Size Ratio (%),PIOP Size (MB)
1,8136.59,2448.22,30.09,5688.37,405.44,403.07,99.42,2.36,190.3426,190.1856,99.92,0.1570
2,8182.96,2693.91,32.92,5489.05,414.51,412.51,99.52,1.99,190.4004,190.2433,99.92,0.1571
3,7233.38,2075.70,28.70,5157.68,417.45,415.62,99.56,1.83,190.3857,190.2287,99.92,0.1570
4,7325.23,2255.66,30.79,5069.57,408.35,406.48,99.54,1.87,190.3426,190.1858,99.92,0.1568
5,7466.99,2261.58,30.29,5205.41,415.03,412.73,99.44,2.31,190.3237,190.1668,99.92,0.1569
6,7347.03,2186.52,29.76,5160.51,420.10,417.64,99.41,2.47,190.4251,190.2681,99.92,0.1570
7,7369.38,2243.43,30.44,5125.95,410.86,408.55,99.44,2.31,190.4260,190.2689,99.92,0.1571
8,7371.23,2122.54,28.79,5248.69,413.94,411.70,99.46,2.25,190.4725,190.3155,99.92,0.1570
9,7288.62,2221.18,30.47,5067.45,413.60,411.12,99.40,2.48,190.3471,190.1903,99.92,0.1568
10,7496.46,2287.65,30.52,5208.81,419.10,416.84,99.46,2.26,190.3252,190.1685,99.92,0.1567
11,9975.68,3067.85,30.75,6907.83,402.81,401.01,99.55,1.80,190.4056,190.2483,99.92,0.1573
12,8762.38,2579.54,29.44,6182.85,400.11,398.39,99.57,1.73,190.4227,190.2658,99.92,0.1569
13,9141.46,2955.36,32.33,6186.10,411.83,409.29,99.38,2.53,190.4175,190.2606,99.92,0.1569
14,8432.91,2525.19,29.94,5907.72,404.92,403.16,99.56,1.76,190.3528,190.1960,99.92,0.1567
