Run,Prover Total (ms),Prover PCS (ms),Prover PCS Ratio (%),Prover PIOP (ms),Verifier Total (ms),Verifier PCS (ms),Verifier PCS Ratio (%),Verifier PIOP (ms),Total Size (MB),PCS Size (MB),PCS Size Ratio (%),PIOP Size (MB)
1,7.62,1.19,15.57,6.43,337.18,334.27,99.14,2.90,135.4528,135.2762,99.87,0.1766
2,7.81,1.17,15.01,6.63,367.63,365.34,99.38,2.29,135.4503,135.2739,99.87,0.1765
3,7.85,1.24,15.83,6.61,330.03,328.22,99.45,1.81,135.4479,135.2713,99.87,0.1767
4,7.21,1.24,17.20,5.97,341.08,339.22,99.45,1.86,135.4464,135.2700,99.87,0.1764
5,3.48,0.61,17.68,2.86,218.95,217.62,99.39,1.33,135.4514,135.2752,99.87,0.1763
6,3.95,0.61,15.57,3.33,217.17,215.62,99.28,1.55,135.4467,135.2702,99.87,0.1765
7,3.23,0.57,17.52,2.67,211.22,209.90,99.37,1.32,135.4500,135.2734,99.87,0.1765
8,4.01,0.67,16.74,3.34,215.40,213.70,99.21,1.70,135.4490,135.2727,99.87,0.1763
9,3.33,0.56,16.92,2.77,205.11,203.84,99.38,1.26,135.4523,135.2758,99.87,0.1765
10,3.72,0.64,17.25,3.08,203.47,202.15,99.35,1.32,135.4504,135.2739,99.87,0.1765
11,3.29,0.57,17.21,2.73,205.43,204.10,99.35,1.33,135.4548,135.2783,99.87,0.1765
12,3.76,0.63,16.88,3.12,216.04,214.25,99.17,1.79,135.4534,135.2769,99.87,0.1765
13,3.50,0.59,16.80,2.91,216.64,215.29,99.38,1.35,135.4460,135.2695,99.87,0.1765
