Run,Prover Total (ms),Prover PCS (ms),Prover PCS Ratio (%),Prover PIOP (ms),Verifier Total (ms),Verifier PCS (ms),Verifier PCS Ratio (%),Verifier PIOP (ms),Total Size (MB),PCS Size (MB),PCS Size Ratio (%),PIOP Size (MB)
1,17.25,5.09,29.51,12.16,840.57,838.47,99.75,2.10,181.6001,181.4506,99.92,0.1495
2,14.88,4.31,28.96,10.57,563.40,561.01,99.58,2.38,181.6076,181.4580,99.92,0.1496
3,17.44,5.18,29.70,12.26,621.16,619.58,99.75,1.58,181.5432,181.3933,99.92,0.1498
4,14.95,4.71,31.48,10.24,889.70,886.95,99.69,2.75,181.5299,181.3803,99.92,0.1495
5,14.63,4.39,29.99,10.24,544.14,542.31,99.66,1.83,181.5509,181.4014,99.92,0.1495
6,13.79,4.23,30.67,9.56,524.25,521.42,99.46,2.83,181.5732,181.4236,99.92,0.1497
7,14.36,4.50,31.34,9.86,551.07,549.31,99.68,1.76,181.5356,181.3858,99.92,0.1497
8,13.22,3.92,29.68,9.29,587.40,585.46,99.67,1.94,181.5900,181.4404,99.92,0.1496
9,15.30,4.55,29.75,10.75,552.54,550.76,99.68,1.77,181.5515,181.4019,99.92,0.1496
10,14.65,4.59,31.31,10.06,551.14,549.64,99.73,1.50,181.5226,181.3729,99.92,0.1497
11,14.57,4.15,28.50,10.42,530.37,528.38,99.62,1.99,181.5731,181.4233,99.92,0.1498
12,13.91,4.42,31.81,9.48,527.71,525.56,99.59,2.14,181.5189,181.3693,99.92,0.1497
13,14.05,4.51,32.10,9.54,535.03,533.48,99.71,1.55,181.5885,181.4388,99.92,0.1498
14,13.42,3.91,29.17,9.51,562.55,560.69,99.67,1.85,181.5466,181.3970,99.92,0.1496
15,15.44,4.50,29.13,10.94,569.97,567.80,99.62,2.17,181.6234,181.4738,99.92,0.1497
16,9.81,2.93,29.82,6.89,429.07,427.12,99.54,1.95,181.5749,181.4255,99.92,0.1495
17,8.21,2.44,29.76,5.76,410.58,408.84,99.58,1.74,181.5970,181.4473,99.92,0.1497
18,8.74,2.57,29.42,6.17,394.13,393.07,99.73,1.07,181.5323,181.3828,99.92,0.1495
19,8.46,2.44,28.88,6.02,415.99,414.83,99.72,1.16,181.5922,181.4425,99.92,0.1497
20,8.19,2.34,28.59,5.85,388.73,386.76,99.49,1.97,181.5319,181.3823,99.92,0.1496
21,7.79,2.24,28.73,5.55,386.27,384.77,99.61,1.50,181.5724,181.4225,99.92,0.1498
22,10.11,2.79,27.62,7.32,424.30,423.20,99.74,1.10,181.5493,181.3996,99.92,0.1497
23,10.29,2.98,28.96,7.31,402.97,401.66,99.67,1.31,181.5402,181.3905,99.92,0.1497
24,9.38,2.80,29.81,6.58,398.79,397.10,99.57,1.70,181.5826,181.4330,99.92,0.1496
25,15.08,3.59,23.80,11.49,762.47,760.33,99.72,2.14,181.5672,181.4174,99.92,0.1497
26,17.53,4.00,22.83,13.53,696.36,694.29,99.70,2.06,181.4859,181.3363,99.92,0.1496
27,18.79,4.43,23.55,14.37,732.40,730.33,99.72,2.07,181.6021,181.4523,99.92,0.1498
28,12.74,3.01,23.63,9.73,674.50,672.50,99.70,2.00,181.5851,181.4355,99.92,0.1496
29,13.40,2.63,19.63,10.77,707.89,705.86,99.71,2.04,181.5348,181.3850,99.92,0.1498
30,15.04,3.92,26.09,11.12,669.15,667.12,99.70,2.03,181.6805,181.5308,99.92,0.1497
31,12.52,2.90,23.16,9.62,681.34,679.28,99.70,2.06,181.5388,181.3891,99.92,0.1497
32,12.76,2.97,23.24,9.80,686.37,684.28,99.70,2.08,181.5040,181.3543,99.92,0.1497
33,12.75,2.99,23.47,9.75,665.78,663.78,99.70,2.00,181.5483,181.3985,99.92,0.1498
34,12.86,3.05,23.69,9.81,672.02,670.03,99.70,1.99,181.5142,181.3647,99.92,0.1496
35,12.74,3.01,23.60,9.73,674.35,672.33,99.70,2.03,181.5092,181.3597,99.92,0.1495
36,12.69,3.03,23.91,9.66,663.85,661.80,99.69,2.05,181.4848,181.3354,99.92,0.1494
37,12.78,2.96,23.20,9.81,685.43,683.38,99.70,2.05,181.5464,181.3969,99.92,0.1495
38,12.76,3.01,23.58,9.75,672.25,670.27,99.70,1.99,181.5944,181.4448,99.92,0.1496
39,12.59,2.98,23.70,9.60,682.12,680.16,99.71,1.95,181.5219,181.3723,99.92,0.1496
40,12.66,3.01,23.75,9.65,699.08,697.02,99.71,2.06,181.5695,181.4201,99.92,0.1495
41,12.69,2.97,23.40,9.72,668.21,666.22,99.70,1.99,181.5506,181.4010,99.92,0.1496
42,13.02,3.00,23.08,10.01,659.58,657.60,99.70,1.98,181.5286,181.3786,99.92,0.1500
43,12.84,3.00,23.38,9.84,671.98,669.97,99.70,2.01,181.5638,181.4143,99.92,0.1495
44,16.19,3.85,23.77,12.34,691.87,689.76,99.70,2.11,181.5535,181.4040,99.92,0.1495
45,12.51,2.81,22.48,9.70,653.10,651.10,99.69,2.00,181.5465,181.3969,99.92,0.1496
46,12.72,2.97,23.35,9.75,658.10,656.08,99.69,2.01,181.5150,181.3653,99.92,0.1497
47,12.77,2.98,23.37,9.78,677.77,675.72,99.70,2.05,181.5001,181.3504,99.92,0.1498
48,12.68,3.01,23.76,9.67,672.23,670.17,99.69,2.07,181.5860,181.4364,99.92,0.1496
49,12.79,3.04,23.75,9.75,661.06,658.92,99.68,2.14,181.5376,181.3876,99.92,0.1500
50,10.48,2.97,28.35,7.51,439.24,438.03,99.73,1.20,181.5169,181.3671,99.92,0.1498
51,10.01,3.11,31.09,6.90,426.11,425.00,99.74,1.11,181.5426,181.3931,99.92,0.1495
52,8.91,2.84,31.82,6.08,410.14,409.03,99.73,1.11,181.5376,181.3880,99.92,0.1496
53,9.03,3.01,33.34,6.02,418.49,417.35,99.73,1.15,181.5456,181.3959,99.92,0.1497
