Run,Prover Total (ms),Prover PCS (ms),Prover PCS Ratio (%),Prover PIOP (ms),Verifier Total (ms),Verifier PCS (ms),Verifier PCS Ratio (%),Verifier PIOP (ms),Total Size (MB),PCS Size (MB),PCS Size Ratio (%),PIOP Size (MB)
1,3.84,0.66,17.26,3.17,225.38,223.21,99.04,2.17,135.4628,135.2865,99.87,0.1763
2,3.60,0.63,17.50,2.97,217.42,214.95,98.86,2.47,135.4725,135.2957,99.87,0.1767
3,3.46,0.62,17.77,2.85,218.46,216.14,98.94,2.32,135.4650,135.2886,99.87,0.1765
4,3.46,0.61,17.60,2.85,219.39,217.02,98.92,2.37,135.4623,135.2859,99.87,0.1764
5,3.40,0.61,17.80,2.80,223.02,220.93,99.06,2.09,135.4620,135.2854,99.87,0.1766
6,3.50,0.61,17.45,2.89,225.15,222.64,98.89,2.50,135.4631,135.2866,99.87,0.1766
7,3.42,0.60,17.64,2.82,222.76,220.16,98.83,2.60,135.4676,135.2910,99.87,0.1766
8,3.48,0.61,17.49,2.87,226.76,224.09,98.82,2.67,135.4655,135.2888,99.87,0.1767
9,3.52,0.61,17.28,2.91,223.02,220.72,98.97,2.30,135.4578,135.2814,99.87,0.1765
10,3.49,0.60,17.14,2.90,223.82,221.05,98.76,2.77,135.4660,135.2891,99.87,0.1768
