Run,Prover Total (ms),Prover PCS (ms),Prover PCS Ratio (%),Prover PIOP (ms),Verifier Total (ms),Verifier PCS (ms),Verifier PCS Ratio (%),Verifier PIOP (ms),Total Size (MB),PCS Size (MB),PCS Size Ratio (%),PIOP Size (MB)
1,3.90,1.03,26.49,2.87,287.42,285.40,99.30,2.02,162.4898,162.3420,99.91,0.1478
2,4.06,1.06,26.07,3.00,291.49,289.38,99.28,2.10,162.4856,162.3378,99.91,0.1477
3,4.13,1.15,27.80,2.98,294.58,292.80,99.39,1.78,162.4601,162.3120,99.91,0.1480
4,4.22,1.17,27.66,3.05,292.83,290.90,99.34,1.93,162.4866,162.3390,99.91,0.1476
5,4.53,1.19,26.22,3.34,296.25,294.28,99.33,1.97,162.5862,162.4382,99.91,0.1480
6,4.19,1.13,27.10,3.05,302.10,299.61,99.17,2.49,162.5768,162.4294,99.91,0.1475
7,4.20,1.18,28.09,3.02,289.40,286.87,99.13,2.53,162.5442,162.3963,99.91,0.1479
8,4.10,1.12,27.25,2.98,298.21,296.13,99.30,2.08,162.5827,162.4348,99.91,0.1480
9,4.14,1.11,26.88,3.03,290.50,288.41,99.28,2.08,162.5393,162.3916,99.91,0.1477
10,4.12,1.11,27.01,3.01,292.21,290.27,99.34,1.94,162.5757,162.4279,99.91,0.1477
