Run,Prover Total (ms),Prover PCS (ms),Prover PCS Ratio (%),Prover PIOP (ms),Verifier Total (ms),Verifier PCS (ms),Verifier PCS Ratio (%),Verifier PIOP (ms),Total Size (MB),PCS Size (MB),PCS Size Ratio (%),PIOP Size (MB)
1,8.60,2.79,32.40,5.81,397.70,395.74,99.51,1.96,181.5359,181.3862,99.92,0.1497
2,9.50,3.17,33.33,6.34,420.48,418.27,99.47,2.21,181.5174,181.3677,99.92,0.1498
3,9.00,2.99,33.18,6.02,432.30,430.32,99.54,1.98,181.5743,181.4245,99.92,0.1498
4,9.26,2.91,31.42,6.35,418.17,416.38,99.57,1.80,181.5962,181.4464,99.92,0.1498
5,8.11,2.56,31.59,5.54,435.77,433.19,99.41,2.58,181.5411,181.3916,99.92,0.1495
6,7.70,2.30,29.88,5.40,407.36,405.34,99.50,2.03,181.6137,181.4642,99.92,0.1495
7,7.24,2.12,29.26,5.12,423.57,421.33,99.47,2.24,181.5780,181.4284,99.92,0.1496
8,7.01,1.96,27.88,5.06,412.43,409.87,99.38,2.56,181.5236,181.3738,99.92,0.1499
9,7.17,2.15,29.97,5.02,416.94,415.06,99.55,1.88,181.5377,181.3881,99.92,0.1496
10,7.38,2.12,28.76,5.26,414.26,411.79,99.40,2.47,181.5521,181.4026,99.92,0.1496
